date,description,category,amount,notes
1/1/2026,Rent,Housing,925.00,
1/3/2026,Electric Bill,Utilities,82.50,
1/5/2026,Car Insurance,Auto,165.00,
1/7/2026,Grocery Run,Groceries,95.20,
1/10/2026,Netflix,Entertainment,15.99,
1/12/2026,Gas,Auto,48.35,
1/15/2026,Dinner Out,Restaurants,42.50,
1/18/2026,Phone Bill,Utilities,85.00,
1/20/2026,Groceries,Groceries,78.40,
1/22/2026,Coffee Shop,Restaurants,18.25,
1/25/2026,Haircut,Personal,45.00,
1/28/2026,Internet,Utilities,65.00,
1/30/2026,Amazon Purchase,Miscellaneous,85.40,
2/1/2026,Rent,Housing,925.00,
2/3/2026,Electric Bill,Utilities,78.30,
2/5/2026,Car Insurance,Auto,165.00,
2/7/2026,Student Loan,Education,1300.00,
2/9/2026,Grocery Run,Groceries,112.60,
2/12/2026,Spotify,Entertainment,10.99,
2/14/2026,Valentine Dinner,Restaurants,95.00,
2/16/2026,Gas,Auto,52.40,
2/18/2026,Phone Bill,Utilities,85.00,
2/20/2026,Groceries,Groceries,68.90,
2/22/2026,New Shoes,Personal,125.00,
2/25/2026,Target Run,Miscellaneous,120.00,
2/27/2026,Lunch Out,Restaurants,28.75,
3/1/2026,Rent,Housing,925.00,
3/3/2026,Electric Bill,Utilities,74.80,
3/5/2026,Car Insurance,Auto,165.00,
3/7/2026,Student Loan,Education,1300.00,
3/9/2026,Grocery Run,Groceries,88.50,
3/12/2026,Movie Tickets,Entertainment,32.00,
3/14/2026,Lunch Out,Restaurants,24.50,
3/16/2026,Gas,Auto,55.80,
3/18/2026,Phone Bill,Utilities,85.00,
3/20/2026,Groceries,Groceries,77.20,
3/22/2026,Gym Membership,Personal,50.00,
3/25/2026,Walmart,Miscellaneous,95.00,
3/28/2026,Coffee Shop,Restaurants,15.50,
4/1/2026,Rent,Housing,75.00,
4/3/2026,Gas,Auto,58.60,
4/5/2026,Car Wash,Auto,18.00,
4/7/2026,Student Loan,Education,1300.50,
4/9/2026,Books,Personal,65.25,
4/12/2026,Concert Tickets,Entertainment,66.77,
4/14/2026,Dinner Out,Restaurants,48.00,
4/16/2026,Gas,Auto,52.20,
4/18/2026,Hobby Supplies,Miscellaneous,150.00,
4/20/2026,Parking,Auto,40.00,
4/22/2026,Clothing,Personal,120.00,
4/25/2026,Misc Purchase,Miscellaneous,200.00,
4/28/2026,Brunch,Restaurants,38.00,
4/30/2026,Oil Change,Auto,65.00,
5/1/2026,Student Loan,Education,1300.00,
5/3/2026,Car Registration,Auto,670.00,
5/5/2026,Skincare,Personal,575.00,
